iso3,year,value
AFG,2020,39068979
AFG,2019,37856121
AFG,2018,36743039
AFG,2017,35688935
AFG,2016,34700612
AFG,2015,33831764
AFG,2014,32792523
AFG,2013,31622704
AFG,2012,30560034
AFG,2011,29347708
AFG,2010,28284089
AFG,2009,27466101
AFG,2008,26482622
AFG,2007,25909852
AFG,2006,25424094
AFG,2005,24404567
AFG,2004,23560654
AFG,2003,22733049
AFG,2002,21378117
AFG,2001,20284307
AFG,2000,20130327
DZA,2020,44042091
DZA,2019,43294546
DZA,2018,42505035
DZA,2017,41689299
DZA,2016,40850721
DZA,2015,40019529
DZA,2014,39205031
DZA,2013,38414171
DZA,2012,37646166
DZA,2011,36903376
DZA,2010,36188236
DZA,2009,35490445
DZA,2008,34816961
DZA,2007,34189416
DZA,2006,33623506
DZA,2005,33109249
DZA,2004,32628286
DZA,2003,32175818
DZA,2002,31750835
DZA,2001,31331221
DZA,2000,30903893
AGO,2020,33451132
AGO,2019,32375632
AGO,2018,31297155
AGO,2017,30234839
AGO,2016,29183070
AGO,2015,28157798
AGO,2014,27160769
AGO,2013,26165620
AGO,2012,25177394
AGO,2011,24218352
AGO,2010,23294825
AGO,2009,22414773
AGO,2008,21578655
AGO,2007,20778561
AGO,2006,20015279
AGO,2005,19291161
AGO,2004,18600423
AGO,2003,17943712
AGO,2002,17327699
AGO,2001,16747208
AGO,2000,16194869
ATG,2020,91846
ATG,2019,91364
ATG,2018,90926
ATG,2017,90468
ATG,2016,89969
ATG,2015,89409
ATG,2014,88765
ATG,2013,88064
ATG,2012,87260
ATG,2011,86332
ATG,2010,85320
ATG,2009,84173
ATG,2008,82912
ATG,2007,81704
ATG,2006,80604
ATG,2005,79611
ATG,2004,78719
ATG,2003,77884
ATG,2002,77032
ATG,2001,76069
ATG,2000,74912
ARG,2020,45191965
ARG,2019,44973465
ARG,2018,44654882
ARG,2017,44288894
ARG,2016,43900313
ARG,2015,43477012
ARG,2014,43024071
ARG,2013,42582455
ARG,2012,42161721
ARG,2011,41730660
ARG,2010,41288694
ARG,2009,40854831
ARG,2008,40424148
ARG,2007,40016763
ARG,2006,39622115
ARG,2005,39216789
ARG,2004,38815916
ARG,2003,38424282
ARG,2002,38029349
ARG,2001,37624825
ARG,2000,37213984
ARM,2020,2961500
ARM,2019,2962500
ARM,2018,2969000
ARM,2017,2979400
ARM,2016,2992300
ARM,2015,3004600
ARM,2014,3013800
ARM,2013,3022000
ARM,2012,3024100
ARM,2011,3027900
ARM,2010,3044800
ARM,2009,3066000
ARM,2008,3087100
ARM,2007,3107400
ARM,2006,3127100
ARM,2005,3146400
ARM,2004,3164900
ARM,2003,3182500
ARM,2002,3199800
ARM,2001,3211800
ARM,2000,3221100
ABW,2020,108587
ABW,2019,109203
ABW,2018,108908
ABW,2017,108735
ABW,2016,108727
ABW,2015,107906
ABW,2014,106807
ABW,2013,105675
ABW,2012,104110
ABW,2011,102591
ABW,2010,101838
ABW,2009,101604
ABW,2008,100917
ABW,2007,100150
ABW,2006,99405
ABW,2005,97635
ABW,2004,95138
ABW,2003,93128
ABW,2002,92074
ABW,2001,91439
ABW,2000,90588
AUS,2020,25649248
AUS,2019,25334826
AUS,2018,24963258
AUS,2017,24592588
AUS,2016,24190907
AUS,2015,23815995
AUS,2014,23475686
AUS,2013,23128129
AUS,2012,22733465
AUS,2011,22340024
AUS,2010,22031750
AUS,2009,21691653
AUS,2008,21249199
AUS,2007,20827622
AUS,2006,20450966
AUS,2005,20176844
AUS,2004,19932722
AUS,2003,19720737
AUS,2002,19495210
AUS,2001,19274701
AUS,2000,19028802
AUT,2020,8916864
AUT,2019,8879920
AUT,2018,8840521
AUT,2017,8797566
AUT,2016,8736668
AUT,2015,8642699
AUT,2014,8546356
AUT,2013,8479823
AUT,2012,8429991
AUT,2011,8391643
AUT,2010,8363404
AUT,2009,8343323
AUT,2008,8321496
AUT,2007,8295487
AUT,2006,8268641
AUT,2005,8227829
AUT,2004,8171966
AUT,2003,8121423
AUT,2002,8081957
AUT,2001,8042293
AUT,2000,8011566
AZE,2020,10093121
AZE,2019,10024283
AZE,2018,9939771
AZE,2017,9854033
AZE,2016,9757812
AZE,2015,9649341
AZE,2014,9535079
AZE,2013,9416801
AZE,2012,9295784
AZE,2011,9173082
AZE,2010,9054332
AZE,2009,8947243
AZE,2008,8763400
AZE,2007,8581300
AZE,2006,8484550
AZE,2005,8391850
AZE,2004,8306500
AZE,2003,8234100
AZE,2002,8171950
AZE,2001,8111200
AZE,2000,8048600
BHS,2020,395863
BHS,2019,394675
BHS,2018,392717
BHS,2017,390485
BHS,2016,388055
BHS,2015,385346
BHS,2014,382298
BHS,2013,378953
BHS,2012,375469
BHS,2011,371729
BHS,2010,367478
BHS,2009,362810
BHS,2008,358120
BHS,2007,353334
BHS,2006,348375
BHS,2005,343894
BHS,2004,339782
BHS,2003,335618
BHS,2002,331614
BHS,2001,327836
BHS,2000,323835
BHR,2020,1472204
BHR,2019,1483756
BHR,2018,1503091
BHR,2017,1501116
BHR,2016,1423726
BHR,2015,1370322
BHR,2014,1314562
BHR,2013,1253191
BHR,2012,1208964
BHR,2011,1195020
BHR,2010,1228543
BHR,2009,1178415
BHR,2008,1103496
BHR,2007,1039295
BHR,2006,960424
BHR,2005,888822
BHR,2004,823741
BHR,2003,764517
BHR,2002,710553
BHR,2001,661316
BHR,2000,637582
BGD,2020,166298024
BGD,2019,164913055
BGD,2018,163523103
BGD,2017,162186147
BGD,2016,160811932
BGD,2015,159383179
BGD,2014,157964929
BGD,2013,156532141
BGD,2012,155070101
BGD,2011,153591076
BGD,2010,152201981
BGD,2009,150873714
BGD,2008,149474264
BGD,2007,147989278
BGD,2006,146405973
BGD,2005,144715786
BGD,2004,142902856
BGD,2003,140970351
BGD,2002,138933658
BGD,2001,136805810
BGD,2000,134544304
BRB,2020,281698
BRB,2019,281207
BRB,2018,280711
BRB,2017,280171
BRB,2016,279598
BRB,2015,278990
BRB,2014,278348
BRB,2013,277665
BRB,2012,276938
BRB,2011,276139
BRB,2010,275243
BRB,2009,274123
BRB,2008,272714
BRB,2007,271288
BRB,2006,270002
BRB,2005,268706
BRB,2004,267298
